id,name,is_main,stages
10416130,RoofTop Hall (main),да,10
10063610,RoofTOPHall,нет,8
10681782,Sense48 (main),нет,10
10848598,Piramit apartments,нет,6
11292122,Piramit - Call центр,нет,5
11273034,Piramit - привлечение арендаторов,нет,9
11292090,Piramit - услуги арендаторам,нет,6
10063774,Пост-сервис,нет,5
10171538,Sense48,нет,8
11292150,Piramit - собственники,нет,8
10848606,Piramit Clients,нет,6
11309210,2026,нет,10
